applicant_id,edad,genero,provincia,region,zona,tipo_beca,nivel_estudio,ingreso_hogar_mensual_dop,miembros_hogar,promedio_academico,score_documental,horas_voluntariado,puntaje_ingles,costo_anual_programa_dop,primera_generacion_universitaria,discapacidad,adjudicada
RD-000041,24,femenino,La Vega,Cibao Sur,urbana,nacional,grado,77150.39,4,90.48,77.74,63.3,85.77,355664.66,1,0,0
RD-000042,25,masculino,La Altagracia,Yuma,rural,internacional,maestria,71940.72,6,72.49,64.44,47.9,84.45,1768606.04,0,0,0
RD-000043,29,femenino,San Pedro de Macoris,Higuamo,urbana,internacional,maestria,27214.06,4,84.28,93.54,147.4,60.52,1590824.57,0,0,1
RD-000044,30,femenino,Santiago,Cibao Norte,rural,nacional,maestria,31255.26,1,83.07,71.13,119.8,39.95,244411.47,0,0,1
RD-000045,35,femenino,La Altagracia,Yuma,rural,internacional,maestria,24494.95,5,72.66,89.04,113.3,60.74,1357153.7,0,0,1
RD-000046,26,femenino,La Altagracia,Yuma,urbana,internacional,maestria,29406.56,3,86.98,91.91,37.5,86.38,1473305.01,1,0,1
RD-000047,17,masculino,Santiago,Cibao Norte,rural,nacional,grado,19545.74,1,100.0,85.24,33.0,67.28,210124.41,0,0,1
RD-000048,18,femenino,Santo Domingo,Ozama,urbana,nacional,grado,39104.91,5,81.5,69.7,0.0,66.73,230294.01,0,0,0
RD-000049,29,femenino,San Cristobal,Valdesia,urbana,internacional,doctorado,59768.03,2,90.13,73.91,103.4,68.73,1656445.97,0,0,0
RD-000050,26,masculino,Santo Domingo,Ozama,urbana,nacional,grado,27397.88,4,100.0,45.88,63.5,26.77,212802.84,0,0,0
RD-000051,35,femenino,Santo Domingo,Ozama,urbana,internacional,maestria,40141.52,7,90.9,76.6,0.0,86.66,1547855.02,1,0,0
RD-000052,19,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,37373.83,2,78.84,87.63,114.1,51.52,211471.0,1,0,1
RD-000053,19,masculino,La Romana,Yuma,urbana,nacional,grado,75381.36,7,85.9,75.15,44.8,28.53,251950.76,0,1,0
RD-000054,35,femenino,San Cristobal,Valdesia,urbana,internacional,doctorado,30140.48,4,87.85,70.92,50.4,60.93,1708547.84,0,0,0
RD-000055,19,masculino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,30749.57,7,95.47,74.43,0.0,73.32,214336.01,0,0,1
RD-000056,25,masculino,La Romana,Yuma,urbana,nacional,grado,26494.39,6,93.71,92.58,82.1,57.14,255444.55,0,0,1
RD-000057,22,femenino,La Vega,Cibao Sur,urbana,nacional,grado,22569.84,6,61.84,77.35,82.6,52.69,336216.84,1,0,0
RD-000058,20,femenino,Duarte,Cibao Nordeste,rural,nacional,grado,56446.68,2,77.15,100.0,57.8,36.39,340189.99,1,0,0
RD-000059,17,femenino,Santo Domingo,Ozama,rural,nacional,grado,39170.89,6,83.44,71.15,41.2,54.73,269011.56,0,0,1
RD-000060,43,masculino,Distrito Nacional,Ozama,rural,nacional,maestria,43483.87,3,75.88,80.61,178.2,48.12,237208.11,1,0,0
RD-000061,20,femenino,San Cristobal,Valdesia,urbana,nacional,grado,85054.94,7,60.0,72.8,5.8,55.58,273741.6,1,0,0
RD-000062,18,masculino,La Vega,Cibao Sur,urbana,nacional,grado,87784.87,7,78.2,100.0,27.5,62.91,410995.47,1,0,1
RD-000063,23,femenino,Duarte,Cibao Nordeste,urbana,nacional,grado,17061.35,5,83.97,80.16,91.9,65.47,287640.93,1,0,1
RD-000064,30,masculino,La Romana,Yuma,urbana,internacional,doctorado,60253.09,7,79.8,100.0,14.4,76.31,1415830.03,1,0,1
RD-000065,26,otro,San Cristobal,Valdesia,urbana,nacional,grado,47767.74,4,76.02,72.96,11.0,59.68,341924.36,0,0,0
RD-000066,27,femenino,Duarte,Cibao Nordeste,urbana,nacional,maestria,32732.54,1,84.33,96.33,110.9,44.32,244564.18,0,0,1
RD-000067,19,femenino,Duarte,Cibao Nordeste,rural,nacional,grado,50525.13,7,86.74,79.42,87.2,68.99,158929.97,1,1,0
RD-000068,25,masculino,Santiago,Cibao Norte,urbana,nacional,grado,16325.59,4,80.25,88.04,81.8,38.69,283620.29,0,0,1
RD-000069,34,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,94320.45,1,94.97,63.36,68.2,78.56,1491413.46,1,0,1
RD-000070,23,femenino,La Vega,Cibao Sur,urbana,nacional,grado,56006.29,1,84.46,82.18,28.9,70.55,219233.18,0,1,1
RD-000071,24,masculino,Santo Domingo,Ozama,urbana,nacional,maestria,26216.42,6,77.03,65.17,48.6,44.78,291654.85,0,0,0
RD-000072,25,masculino,Santiago,Cibao Norte,urbana,internacional,maestria,30577.64,7,75.0,81.09,56.4,70.51,1891533.5,1,0,0
RD-000073,28,masculino,Azua,Valdesia,rural,internacional,maestria,16535.58,5,82.3,59.78,98.1,71.14,1267691.23,0,0,0
RD-000074,30,masculino,Santo Domingo,Ozama,urbana,internacional,maestria,35501.26,4,92.91,76.87,79.2,83.64,1723622.66,0,0,0
RD-000075,44,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,32354.14,3,77.41,91.15,18.2,73.52,1061142.02,0,0,0
RD-000076,38,femenino,Santo Domingo,Ozama,urbana,internacional,maestria,20357.19,3,88.77,84.57,95.5,74.14,1417367.31,1,0,1
RD-000077,17,femenino,Santo Domingo,Ozama,urbana,nacional,grado,64678.64,3,84.76,63.19,0.0,42.49,153548.4,0,0,0
RD-000078,23,masculino,San Cristobal,Valdesia,rural,nacional,grado,85155.86,2,99.95,55.22,45.6,49.49,399311.71,1,0,0
RD-000079,19,masculino,Duarte,Cibao Nordeste,rural,nacional,grado,41562.42,1,87.12,83.96,8.6,46.77,282908.33,0,0,1
RD-000080,29,masculino,La Romana,Yuma,urbana,nacional,maestria,35663.9,4,78.41,96.97,21.4,66.41,164534.76,1,0,1
RD-000081,17,femenino,San Cristobal,Valdesia,rural,nacional,grado,53596.63,2,89.89,66.43,146.7,52.81,80000.0,0,0,1
RD-000082,23,femenino,Santiago,Cibao Norte,urbana,nacional,grado,41739.31,2,90.16,100.0,0.0,67.16,184572.92,1,0,1
RD-000083,21,femenino,La Altagracia,Yuma,rural,nacional,grado,23267.24,2,80.82,77.92,23.1,71.26,208677.59,0,0,0
RD-000084,26,femenino,Santo Domingo,Ozama,urbana,internacional,maestria,29467.02,6,74.69,54.5,83.0,68.45,1808927.89,0,0,0
RD-000085,39,femenino,Distrito Nacional,Ozama,rural,internacional,maestria,35845.03,5,88.29,59.27,38.8,86.99,1610250.97,0,0,0
RD-000086,17,femenino,Distrito Nacional,Ozama,rural,nacional,grado,48363.59,4,84.51,87.24,67.0,57.66,82851.15,1,0,1
RD-000087,22,femenino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,42409.82,5,71.87,79.55,124.3,60.55,244848.24,1,0,0
RD-000088,23,femenino,La Vega,Cibao Sur,urbana,nacional,grado,47368.05,4,86.04,95.79,89.5,34.7,227656.41,0,0,1
RD-000089,23,femenino,Santo Domingo,Ozama,urbana,nacional,grado,18239.5,4,78.9,63.62,38.9,55.54,216332.51,0,0,0
RD-000090,28,masculino,Puerto Plata,Cibao Norte,urbana,internacional,maestria,60831.91,6,71.88,79.42,54.0,79.15,1056559.78,1,0,0
RD-000091,27,masculino,Santo Domingo,Ozama,urbana,internacional,maestria,42271.94,6,81.18,78.08,83.9,88.16,1719829.67,0,0,1
RD-000092,27,femenino,San Cristobal,Valdesia,urbana,internacional,maestria,171783.45,2,94.26,76.28,88.6,95.34,1500273.53,1,0,0
RD-000093,40,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,34091.42,6,93.66,73.41,60.9,100.0,1599071.1,0,0,1
RD-000094,44,femenino,Santiago,Cibao Norte,urbana,internacional,maestria,50407.85,2,91.57,73.65,76.2,80.7,1359299.19,0,0,1
RD-000095,23,masculino,Santiago,Cibao Norte,rural,nacional,maestria,199999.58,1,86.15,80.1,76.3,46.54,355733.8,0,0,0
RD-000096,17,masculino,San Cristobal,Valdesia,urbana,nacional,grado,46945.86,3,88.77,81.63,55.8,69.16,80000.0,0,0,1
RD-000097,24,femenino,Santiago,Cibao Norte,urbana,nacional,grado,40652.0,3,84.79,81.03,32.8,53.97,217677.62,1,0,0
RD-000098,17,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,24518.74,6,75.16,92.47,93.4,35.01,477928.08,0,0,0
RD-000099,17,masculino,Distrito Nacional,Ozama,rural,nacional,grado,97786.96,5,76.76,63.58,73.1,54.86,340708.78,0,1,0
RD-000100,18,masculino,San Juan,El Valle,urbana,nacional,grado,22303.39,1,79.14,56.26,0.0,34.18,101923.81,0,0,0
RD-000101,26,femenino,Peravia,Valdesia,urbana,internacional,maestria,53365.33,4,95.21,90.2,22.8,82.73,2887785.42,0,0,1
RD-000102,17,masculino,San Cristobal,Valdesia,urbana,nacional,grado,32517.85,6,92.61,66.68,38.4,48.88,140496.11,1,0,1
RD-000103,23,masculino,Santo Domingo,Ozama,urbana,internacional,maestria,38019.9,6,75.36,73.45,50.9,66.54,2144723.72,1,0,0
RD-000104,30,masculino,Barahona,Enriquillo,rural,internacional,maestria,19280.26,4,84.43,70.65,114.2,95.13,550000.0,1,0,1
RD-000105,25,femenino,La Romana,Yuma,urbana,nacional,grado,88319.83,5,80.78,70.4,204.1,25.97,331056.96,0,0,1
RD-000106,44,femenino,San Pedro de Macoris,Higuamo,urbana,nacional,maestria,36214.38,4,82.76,60.5,0.0,45.08,95605.05,1,1,0
RD-000107,37,femenino,La Vega,Cibao Sur,urbana,nacional,maestria,21627.06,2,79.71,71.17,73.7,33.86,167303.98,1,0,1
RD-000108,21,masculino,Santo Domingo,Ozama,urbana,nacional,grado,84034.26,4,95.25,85.79,63.1,84.37,240077.37,1,0,1
RD-000109,18,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,31975.48,5,83.85,77.95,51.9,45.4,214888.54,0,0,1
RD-000110,28,masculino,Peravia,Valdesia,urbana,internacional,maestria,50717.89,1,85.73,84.05,84.4,86.33,1863745.97,0,0,1
RD-000111,22,masculino,La Vega,Cibao Sur,urbana,nacional,grado,67022.19,5,85.79,72.05,66.7,85.61,166435.53,1,1,0
RD-000112,25,femenino,Santo Domingo,Ozama,urbana,nacional,grado,54760.2,2,75.78,88.83,43.7,41.11,205208.85,1,0,0
RD-000113,20,masculino,Santiago,Cibao Norte,urbana,nacional,grado,12605.02,1,84.87,71.9,61.3,27.67,165329.82,0,0,1
RD-000114,33,masculino,Duarte,Cibao Nordeste,urbana,nacional,maestria,61848.69,6,92.5,52.7,85.0,34.62,205075.8,1,0,1
RD-000115,19,masculino,Santo Domingo,Ozama,urbana,nacional,grado,39921.19,3,95.78,81.8,80.8,54.15,306870.78,1,0,1
RD-000116,21,femenino,Azua,Valdesia,urbana,nacional,grado,35208.2,3,74.82,87.21,68.5,52.69,268190.56,1,0,1
RD-000117,24,femenino,La Romana,Yuma,rural,nacional,grado,39735.84,5,71.85,71.29,33.7,39.46,173376.29,0,0,0
RD-000118,21,otro,San Pedro de Macoris,Higuamo,rural,nacional,grado,17404.46,4,84.5,92.39,186.9,44.72,347568.53,1,0,1
RD-000119,43,masculino,La Vega,Cibao Sur,rural,nacional,maestria,46896.3,5,92.87,67.79,76.2,52.8,341054.91,1,0,1
RD-000120,20,masculino,San Cristobal,Valdesia,urbana,nacional,grado,19922.1,7,86.88,86.05,94.3,71.86,239893.99,0,0,0
RD-000121,19,femenino,Duarte,Cibao Nordeste,rural,nacional,grado,36054.54,5,89.44,98.94,37.1,57.0,215483.7,1,0,1
RD-000122,21,femenino,San Cristobal,Valdesia,urbana,nacional,grado,45979.25,1,73.12,78.44,68.5,43.55,407441.23,0,0,1
RD-000123,18,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,76169.8,2,79.42,75.28,68.2,48.57,392657.32,0,0,0
RD-000124,23,masculino,La Vega,Cibao Sur,urbana,nacional,grado,26882.02,4,66.43,76.73,0.0,63.55,96078.63,1,1,0
RD-000125,18,masculino,Distrito Nacional,Ozama,urbana,nacional,grado,93748.7,4,82.86,97.54,27.8,77.2,353457.89,0,0,1
RD-000126,23,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,71023.73,3,66.69,82.83,26.9,35.43,403759.95,0,0,0
RD-000127,20,femenino,Santiago,Cibao Norte,rural,nacional,grado,33317.05,2,94.66,100.0,33.0,68.71,302380.81,1,0,1
RD-000128,20,femenino,Santo Domingo,Ozama,rural,nacional,grado,22929.69,1,96.44,81.35,11.9,47.31,195642.51,1,0,1
RD-000129,23,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,19070.56,2,85.13,70.15,62.0,27.64,207159.87,1,0,1
RD-000130,40,femenino,Duarte,Cibao Nordeste,rural,internacional,maestria,48994.56,7,71.9,71.0,122.9,78.8,1418761.92,0,0,0
RD-000131,26,femenino,Santo Domingo,Ozama,urbana,nacional,grado,28127.24,3,87.01,78.74,65.9,72.01,319365.49,0,0,1
RD-000132,41,masculino,San Juan,El Valle,rural,internacional,maestria,81605.04,7,98.87,53.5,6.8,87.12,1379759.42,0,0,0
RD-000133,25,femenino,Duarte,Cibao Nordeste,urbana,nacional,grado,29035.13,3,87.81,72.3,13.6,43.46,461614.23,0,1,1
RD-000134,25,masculino,Santiago,Cibao Norte,urbana,nacional,grado,25709.89,3,93.48,72.57,43.0,48.82,144267.77,0,0,1
RD-000135,29,masculino,Monsenor Nouel,Cibao Sur,urbana,internacional,maestria,47977.84,4,80.12,80.88,0.0,79.87,739100.25,0,0,1
RD-000136,41,femenino,Distrito Nacional,Ozama,rural,internacional,maestria,28931.15,7,77.03,100.0,73.7,58.62,1519761.04,0,0,0
RD-000137,44,masculino,San Juan,El Valle,urbana,internacional,maestria,42391.47,4,83.43,78.66,120.9,59.8,1460678.82,0,0,1
RD-000138,19,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,72569.07,1,68.59,54.93,34.1,28.72,80000.0,1,0,0
RD-000139,43,femenino,La Romana,Yuma,rural,internacional,maestria,45002.63,2,100.0,67.03,63.4,65.45,1110623.15,1,0,1
RD-000140,24,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,45095.17,7,85.12,81.15,40.7,31.16,168634.87,0,0,1
RD-000141,19,femenino,Puerto Plata,Cibao Norte,urbana,nacional,grado,47232.18,2,90.93,79.12,31.7,60.36,166932.43,1,0,1
RD-000142,25,masculino,Puerto Plata,Cibao Norte,urbana,nacional,grado,16627.21,6,80.31,97.49,68.5,35.76,205890.3,0,0,1
RD-000143,37,masculino,San Juan,El Valle,rural,internacional,maestria,52339.72,7,71.66,89.52,30.2,97.9,1861307.38,0,0,1
RD-000144,21,masculino,Duarte,Cibao Nordeste,rural,nacional,grado,46072.08,2,95.41,89.16,23.6,42.2,228456.98,0,0,1
RD-000145,44,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,68947.01,4,75.01,75.39,0.0,79.7,2036957.48,1,0,0
RD-000146,17,masculino,Santo Domingo,Ozama,urbana,nacional,grado,58876.42,5,86.79,91.19,62.9,66.94,351040.38,0,0,0
RD-000147,39,masculino,Santiago,Cibao Norte,urbana,internacional,maestria,37757.08,6,87.54,67.25,108.0,81.52,1149816.49,0,0,0
RD-000148,24,masculino,Puerto Plata,Cibao Norte,urbana,nacional,grado,74445.02,6,84.59,89.62,91.8,44.17,183176.45,0,0,1
RD-000149,23,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,35920.13,1,77.72,74.61,127.1,88.14,1045751.33,0,0,1
RD-000150,21,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,48336.22,3,82.8,60.62,29.6,58.57,155102.07,0,0,0
RD-000151,22,masculino,La Altagracia,Yuma,urbana,nacional,grado,35556.13,7,76.4,85.12,98.3,59.06,237305.6,0,0,0
RD-000152,19,femenino,Peravia,Valdesia,urbana,nacional,grado,54391.7,3,90.47,94.77,10.4,77.88,150118.01,1,0,1
RD-000153,25,femenino,Santo Domingo,Ozama,urbana,nacional,grado,34301.03,2,88.57,73.12,91.9,58.25,442086.07,1,0,1
RD-000154,23,masculino,Duarte,Cibao Nordeste,urbana,nacional,grado,104417.59,5,83.83,96.75,134.0,46.64,252152.09,0,0,0
RD-000155,19,masculino,Distrito Nacional,Ozama,rural,nacional,grado,127969.79,2,79.45,58.13,82.4,58.42,188906.26,1,0,0
RD-000156,21,otro,San Cristobal,Valdesia,rural,nacional,grado,68231.8,2,100.0,63.64,134.8,45.55,307056.86,0,0,0
RD-000157,18,femenino,Santo Domingo,Ozama,urbana,nacional,grado,98490.28,6,73.58,76.24,33.1,36.02,122954.56,1,0,1
RD-000158,17,femenino,San Cristobal,Valdesia,rural,nacional,grado,18095.74,1,71.64,73.55,54.0,70.3,172401.75,0,0,0
RD-000159,24,femenino,San Pedro de Macoris,Higuamo,rural,internacional,maestria,19307.37,7,83.34,69.99,18.8,65.46,1755611.08,0,0,1
RD-000160,39,masculino,La Romana,Yuma,rural,nacional,maestria,35353.11,2,81.94,79.6,61.6,24.08,252860.97,1,0,0
RD-000161,33,masculino,Distrito Nacional,Ozama,urbana,internacional,maestria,43160.33,1,92.78,71.66,72.1,81.89,764990.64,1,1,1
RD-000162,44,masculino,Peravia,Valdesia,urbana,internacional,doctorado,37834.85,6,89.17,73.69,61.2,58.54,1911796.5,0,0,1
RD-000163,23,masculino,Santo Domingo,Ozama,rural,nacional,grado,17099.86,2,84.24,81.34,38.7,28.54,317722.02,0,0,1
RD-000164,22,femenino,Distrito Nacional,Ozama,urbana,nacional,grado,79489.12,3,88.0,69.99,37.9,40.71,188380.4,1,0,1
RD-000165,29,femenino,Duarte,Cibao Nordeste,urbana,nacional,maestria,137972.41,3,87.86,76.73,75.5,91.92,128825.78,0,0,1
RD-000166,23,masculino,Santiago,Cibao Norte,urbana,nacional,grado,85352.35,4,100.0,70.25,52.8,47.03,80000.0,1,0,0
RD-000167,19,femenino,La Altagracia,Yuma,urbana,nacional,grado,76652.52,4,86.03,63.53,8.2,68.24,187211.07,0,0,1
RD-000168,18,masculino,La Altagracia,Yuma,rural,nacional,grado,47780.16,2,78.55,87.16,0.0,74.51,391047.97,0,0,0
RD-000169,21,femenino,Santiago,Cibao Norte,rural,nacional,grado,26538.49,2,85.59,98.49,33.2,38.37,332065.45,0,0,1
RD-000170,24,masculino,San Juan,El Valle,urbana,nacional,grado,43909.7,2,63.05,90.77,0.0,56.0,395264.92,0,0,0
RD-000171,44,otro,Santo Domingo,Ozama,urbana,internacional,maestria,134332.51,1,83.74,81.98,22.4,72.57,1536430.38,1,1,0
RD-000172,23,femenino,Puerto Plata,Cibao Norte,rural,nacional,grado,34766.39,5,92.74,70.3,41.0,58.89,250144.54,1,0,1
RD-000173,19,femenino,Santo Domingo,Ozama,urbana,nacional,grado,32852.18,4,88.82,74.56,53.4,87.48,89968.46,0,1,0
RD-000174,40,masculino,San Juan,El Valle,urbana,internacional,maestria,77576.28,1,86.39,90.68,30.0,63.44,1704674.68,0,0,1
RD-000175,24,femenino,Santo Domingo,Ozama,urbana,nacional,grado,80460.96,3,89.19,50.62,158.6,78.96,226077.71,0,0,0
RD-000176,40,masculino,Distrito Nacional,Ozama,urbana,nacional,maestria,26467.0,5,92.83,73.64,3.3,52.25,109262.62,0,0,1
RD-000177,26,masculino,La Vega,Cibao Sur,urbana,internacional,maestria,36540.75,2,95.4,86.81,114.4,74.69,707460.26,0,1,1
RD-000178,26,femenino,Monte Cristi,Cibao Noroeste,urbana,nacional,grado,32014.75,3,87.58,64.34,52.7,61.6,244110.57,0,0,0
RD-000179,17,femenino,Peravia,Valdesia,urbana,nacional,grado,43841.19,6,81.47,83.08,30.4,50.33,360872.36,1,0,0
RD-000180,26,femenino,San Pedro de Macoris,Higuamo,urbana,nacional,grado,77422.11,5,65.49,82.52,86.4,50.73,240935.15,1,0,0
RD-000181,35,femenino,Peravia,Valdesia,rural,internacional,maestria,27113.44,5,91.83,60.55,39.6,89.3,1153957.56,1,0,1
RD-000182,18,femenino,Peravia,Valdesia,rural,nacional,grado,76827.32,3,88.12,79.04,23.7,24.88,80000.0,0,0,1
RD-000183,19,femenino,Puerto Plata,Cibao Norte,rural,nacional,grado,44618.69,4,85.22,70.59,140.5,40.02,251391.33,0,0,0
RD-000184,20,femenino,Santiago,Cibao Norte,urbana,nacional,grado,151661.4,6,78.5,82.99,0.0,62.84,180237.11,0,0,0
RD-000185,26,masculino,La Romana,Yuma,urbana,nacional,grado,50279.71,7,91.72,86.04,49.0,66.87,251034.82,1,0,1
RD-000186,22,femenino,San Cristobal,Valdesia,urbana,nacional,grado,40002.4,1,81.94,82.79,68.6,57.36,220603.58,0,0,1
RD-000187,32,femenino,Santiago,Cibao Norte,urbana,internacional,maestria,57878.03,6,83.72,78.87,123.4,85.59,1243426.91,0,0,1
RD-000188,22,femenino,Distrito Nacional,Ozama,urbana,internacional,maestria,35051.36,7,83.55,81.47,42.1,84.94,1224370.46,0,0,1
RD-000189,18,masculino,San Pedro de Macoris,Higuamo,rural,nacional,grado,15718.6,7,87.6,63.89,179.7,66.37,340094.94,0,0,1
RD-000190,25,femenino,Santo Domingo,Ozama,urbana,nacional,grado,36964.5,2,74.81,77.63,94.2,30.61,275040.35,0,0,0
RD-000191,25,femenino,San Juan,El Valle,urbana,nacional,grado,36645.23,4,88.5,68.44,0.0,44.36,154956.85,1,0,1
RD-000192,20,masculino,Santo Domingo,Ozama,urbana,nacional,grado,17574.87,1,78.23,90.38,0.0,50.88,187631.53,0,0,1
RD-000193,17,masculino,Santo Domingo,Ozama,urbana,nacional,grado,40531.33,1,78.51,86.2,70.7,54.94,312508.61,1,0,1
RD-000194,25,masculino,La Altagracia,Yuma,rural,nacional,grado,13535.75,4,91.08,86.16,8.5,20.36,363632.97,1,0,0
RD-000195,26,masculino,Santo Domingo,Ozama,urbana,nacional,grado,34848.74,2,76.04,98.56,84.7,33.14,118996.44,0,0,1
